"Feature","Description"
"NAICS_00","Worked in Unknown (NAICS 00)"
"NAICS_11","Worked in Agriculture, Forestry, Fishing, and Hunting (NAICS 11)"
"NAICS_21","Worked in Mining, Quarrying, and Oil and Gas Extraction (NAICS 21)"
"NAICS_22","Worked in Utilities (NAICS 22)"
"NAICS_23","Worked in Construction (NAICS 23)"
"NAICS_31","Worked in Manufacturing (NAICS 31)"
"NAICS_32","Worked in Manufacturing (NAICS 32)"
"NAICS_33","Worked in Manufacturing (NAICS 33)"
"NAICS_42","Worked in Wholesale Trade (NAICS 42)"
"NAICS_44","Worked in Retail Trade (NAICS 44)"
"NAICS_45","Worked in Retail Trade (NAICS 45)"
"NAICS_48","Worked in Transportation and Warehousing (NAICS 48)"
"NAICS_49","Worked in Transportation and Warehousing (NAICS 49)"
"NAICS_51","Worked in Information (NAICS 51)"
"NAICS_52","Worked in Finance and Insurance (NAICS 52)"
"NAICS_53","Worked in Real Estate and Rental and Leasing (NAICS 53)"
"NAICS_54","Worked in Professional, Scientific, and Technical Services (NAICS 54)"
"NAICS_55","Worked in Management of Companies and Enterprises (NAICS 55)"
"NAICS_56","Worked in Administrative and Support and Waste Management and Remediation Services (NAICS 56)"
"NAICS_61","Worked in Educational Services (NAICS 61)"
"NAICS_62","Worked in Health Care and Social Assistance (NAICS 62)"
"NAICS_71","Worked in Arts, Entertainment, and Recreation (NAICS 71)"
"NAICS_72","Worked in Accommodation and Food Services (NAICS 72)"
"NAICS_81","Worked in Other Services (except Public Administration) (NAICS 81)"
"NAICS_92","Worked in Public Administration (NAICS 92)"
"NAICS_99","Worked in Unknown (NAICS 99)"
"TDI_DIAG_162","TDI claim for 'Malignant neoplasm of trachea, bronchus, and lung'"
"TDI_DIAG_174","TDI claim for 'Malignant neoplasm of female breast'"
"TDI_DIAG_193","TDI claim for 'Malignant neoplasm of thyroid gland'"
"TDI_DIAG_218","TDI claim for 'Uterine leiomyoma'"
"TDI_DIAG_250","TDI claim for 'Diabetes mellitus'"
"TDI_DIAG_278","TDI claim for 'Obesity and other hyperalimentation'"
"TDI_DIAG_295","TDI claim for 'Schizophrenic psychoses'"
"TDI_DIAG_296","TDI claim for 'Affective psychoses'"
"TDI_DIAG_300","TDI claim for 'Neurotic disorders'"
"TDI_DIAG_303","TDI claim for 'Alcohol dependence syndrome'"
"TDI_DIAG_304","TDI claim for 'Drug dependence'"
"TDI_DIAG_308","TDI claim for 'Acute reaction to stress'"
"TDI_DIAG_309","TDI claim for 'Adjustment reaction'"
"TDI_DIAG_311","TDI claim for 'Depressive disorder, not elsewhere classified'"
"TDI_DIAG_340","TDI claim for 'Multiple sclerosis'"
"TDI_DIAG_345","TDI claim for 'Epilepsy'"
"TDI_DIAG_346","TDI claim for 'Migraine'"
"TDI_DIAG_354","TDI claim for 'Mononeuritis of upper limb and mononeuritis multiplex'"
"TDI_DIAG_355","TDI claim for 'Mononeuritis of lower limb'"
"TDI_DIAG_372","TDI claim for 'Disorders of conjunctiva'"
