SECTION,PROC_CDE,DESCRIPTION,ADD_DATE,ACTION_DATE,TERM_DATE,ACTION_CODE
T1,A0021,"Ambulance service, outside state per mile, transport (medicaid only)",19850101,19960910,,N
T2,A0080,"Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest",19820101,20030101,,N
T2,A0090,"Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest",19820101,20030101,,N
T2,A0100,Non-emergency transportation; taxi,19820101,20030101,,N
T2,A0110,"Non-emergency transportation and bus, intra or inter state carrier",19840101,19950101,,N
T2,A0120,"Non-emergency transportation: mini-bus, mountain area transports, or other transportation systems",19820101,20030101,,N
T2,A0130,Non-emergency transportation: wheelchair van,19820101,19820101,,N
T2,A0140,Non-emergency transportation and air travel (private or commercial) intra or inter state,19850101,19960910,,N
T2,A0160,Non-emergency transportation: per mile - case worker or social worker,19840101,19950101,,N
T2,A0170,"Transportation ancillary: parking fees, tolls, other",19820101,20030101,,N
T2,A0180,Non-emergency transportation: ancillary: lodging-recipient,19820101,19820101,,N
T2,A0190,Non-emergency transportation: ancillary: meals-recipient,19840101,19840101,,N
T2,A0200,Non-emergency transportation: ancillary: lodging escort,19820101,19820101,,N
T2,A0210,Non-emergency transportation: ancillary: meals-escort,19840101,19840101,,N
T1,A0225,"Ambulance service, neonatal transport, base rate, emergency transport, one way",19850101,20030401,,N
T1,A0380,Bls mileage (per mile),19950101,20030101,,N
T1,A0382,Bls routine disposable supplies,19950101,20140101,,N
T1,A0384,Bls specialized service disposable supplies; defibrillation (used by als ambulances and bls ambulances in jurisdictions where defibrillation is permitted in bls ambulances),19950101,20140101,,N
T1,A0390,Als mileage (per mile),19950101,20030101,,N
T1,A0392,Als specialized service disposable supplies; defibrillation (to be used only in jurisdictions where defibrillation cannot be performed in bls ambulances),19950101,20140101,,N
T1,A0394,Als specialized service disposable supplies; iv drug therapy,19950101,20140101,,N
T1,A0396,Als specialized service disposable supplies; esophageal intubation,19950101,20140101,,N
T1,A0398,Als routine disposable supplies,19950101,20140101,,N
T1,A0420,"Ambulance waiting time (als or bls), one half (1/2) hour increments",19950101,20140101,,N
T1,A0422,"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation",19950101,20140101,,N
T1,A0424,"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged); (requires medical review)",19950101,20140101,,N
T1,A0425,"Ground mileage, per statute mile",20010101,20010101,,N
T1,A0426,"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)",20010101,20010101,,N
T1,A0427,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)",20010101,20010101,,N
T1,A0428,"Ambulance service, basic life support, non-emergency transport, (bls)",20010101,20010101,,N
T1,A0429,"Ambulance service, basic life support, emergency transport (bls-emergency)",20010101,20010101,,N
T1,A0430,"Ambulance service, conventional air services, transport, one way (fixed wing)",20010101,20010101,,N
T1,A0431,"Ambulance service, conventional air services, transport, one way (rotary wing)",20010101,20010101,,N
T1,A0432,"Paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers",20010101,20010101,,N
T1,A0433,"Advanced life support, level 2 (als 2)",20010101,20010101,,N
T1,A0434,Specialty care transport (sct),20010101,20010101,,N
T1,A0435,"Fixed wing air mileage, per statute mile",20010101,20010101,,N
T1,A0436,"Rotary wing air mileage, per statute mile",20010101,20010101,,N
T1,A0888,"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest appropriate facility)",19950101,19950101,,N
T1,A0998,"Ambulance response and treatment, no transport",20060101,20060101,,N
T1,A0999,Unlisted ambulance service,19870101,19980101,,N
S,A4206,"Syringe with needle, sterile, 1 cc or less, each",19850101,20080101,,N
S,A4207,"Syringe with needle, sterile 2 cc, each",19850101,20070101,,N
S,A4208,"Syringe with needle, sterile 3 cc, each",19850101,20070101,,N
